1, 74093119310, George, Charpak, CEO
2, 76010374293, Justyna, Szymanska, researcher
3, 83111085975, Agnieszka, Walczak, supervisor
4, 64082197757, Justyna, Jakubowska, supervisor
5, 60050225080, Wojciech, Adamczyk, supervisor
6, 84071028819, Beata, Krol, analyst
7, 00011237833, Justyna, Piotrowska, supervisor
8, 68021642656, Amelia, Kowalska, analyst
9, 61033058431, Anna, Wisniewska, supervisor
10, 76102016821, Tomasz, Dabrowski, researcher
11, 99060739021, Marek, Wisniewski, researcher
12, 96112348563, Pawel, Zalewski, supervisor
13, 96040318061, Robert, Baran, researcher
14, 63050346986, Maciej, Zajac, analyst
15, 80022315094, Wiktoria, Rutkowska, supervisor
16, 82090260380, Adam, Wrobel, supervisor
17, 96083128627, Piotr, Jankowski, supervisor
18, 89121758216, Lena, Jasinska, researcher
19, 99011042817, Julia, Jasinska, supervisor
20, 63020234509, Artur, Wojciechowski, analyst
21, 73093055673, Marta, Jasinska, researcher
22, 95102479814, Martyna, Wozniak, researcher
23, 71050691067, Kacper, Szewczyk, researcher
24, 77062496298, Julia, Kowalczyk, researcher
25, 68120781139, Wiktoria, Jablonska, supervisor
26, 70050211761, Henryk, Witkowski, researcher
27, 97091689003, Rafal, Kubiak, analyst
28, 01311285177, Joanna, Jasinska, researcher
29, 74031764752, Renata, Adamczyk, researcher
30, 88112212849, Wojciech, Zalewski, researcher
31, 74040130018, Justyna, Szymanska, analyst
32, 87012734644, Damian, Marciniak, analyst
33, 89091150531, Joanna, Wieczorek, researcher
34, 84022523516, Kamila, Krol, supervisor
35, 99030721485, Pawel, Wojcik, analyst
36, 98050976316, Natalia, Wrobel, supervisor
37, 64061597709, Mateusz, Kowalczyk, supervisor
38, 65111894078, Gabriela, Wlodarczyk, researcher
39, 69100814669, Robert, Kaminski, researcher
40, 93100428465, Pawel, Olszewski, analyst
41, 82121387095, Wiktoria, Zalewska, analyst
42, 75040766524, Marek, Kubiak, supervisor
43, 97052722673, Marta, Zajac, analyst
44, 02232279678, Marta, Lewandowska, researcher
45, 88052269804, lukasz, Pietrzak, analyst
46, 66081480784, Hubert, Dabrowski, analyst
47, 68052929667, Daniel, Grabowski, supervisor
48, 95122492334, Urszula, Tomczak, researcher
49, 64071453691, Marzena, Kowalska, supervisor
50, 71031029144, Hubert, Witkowski, supervisor
51, 84083020391, Marzena, Szymanska, supervisor
52, 82112533128, Oskar, Kubiak, analyst
53, 87092698722, Bartlomiej, Wrobel, analyst
54, 68071691129, Rafal, Szewczyk, supervisor
55, 69071592236, Paulina, Walczak, researcher
56, 97062949954, Agata, Mazur, analyst
57, 89081573889, Daniel, Stepien, supervisor
58, 96093138980, Kacper, Nowakowski, analyst
59, 90091175347, Tadeusz, Krol, analyst
60, 01262642331, Maja, Wojciechowska, researcher
61, 93070548400, lukasz, Kucharski, supervisor
62, 74110617434, Nadia, Lewandowska, supervisor
63, 81031576911, Aleksandra, Piotrowska, researcher
64, 72120190761, Radoslaw, Nowakowski, researcher
65, 70071942518, Magdalena, Kowalczyk, analyst
66, 94101511628, Ignacy, Zielinski, supervisor
67, 67111876122, Radoslaw, Dabrowski, researcher
68, 61062180051, Adrianna, Wozniak, supervisor
69, 62111960217, Maja, Dabrowska, researcher
70, 76122551672, Izabela, Piotrowska, analyst
71, 82090380659, Joanna, Jankowska, analyst
72, 63111015716, Agnieszka, Zielinska, supervisor
73, 69101315138, Nina, Pawlak, analyst
74, 97091139676, Barbara, Wozniak, analyst
75, 87092866404, Sebastian, Tomczak, supervisor
76, 96041793692, Marzena, Jankowska, supervisor
77, 65031454909, Andrzej, Kaminski, analyst
78, 00022641876, Magdalena, Wlodarczyk, analyst
79, 99042257446, Kacper, Kaczmarek, analyst
80, 70052922298, Agnieszka, Mazur, analyst
81, 73112411664, Kacper, Piotrowski, analyst
82, 86082452401, Henryk, Grabowski, analyst
83, 85081822534, Anna, Kwiatkowska, supervisor
84, 80081838941, Mikolaj, Witkowski, supervisor
85, 94110631715, Nina, Krawczyk, analyst
86, 74031598584, Przemyslaw, Kozlowski, analyst
87, 95021188372, Adrianna, Kowalczyk, researcher
88, 80082776677, Magdalena, Jablonska, researcher
89, 88101315856, Marta, Dabrowska, analyst
90, 82110129279, Gabriela, Szymanska, supervisor
91, 89061340089, Tomasz, Gajewski, researcher
